Name,Formula,Molecular Weight,RT [min],Area (Max.),sample,area,count,RT,Class,FA,FA Group Key,TC,DB,Batch,StandardsName,Conc,slope,intercept,adj.r.squared,conc_mgmL
LPC(18:1),C26 H52 N O7 P,521.3465,3.238,414092750.584583,Area: Standard3B1.raw (F1),73268.5019337642,32,3.061,LPC,18:01,18_1,18,1,B1,3,0.1,1.1925999734337,14.589882377109294,0.9399089080489595,0.05837609076790207
PE(16:0_18:1),C39 H76 N O8 P,717.52932,11.847,170714421.761119,Area: Standard3B1.raw (F1),86124.3014366377,32,11.847,PE,16:0_18:1,34_1,34,1,B1,3,0.1,1.18643288820946,13.74803121913858,0.975124873120859,0.13401643486021503
PE(18:0_18:1),C41 H80 N O7 P,729.56465,15.276,249056022.187329,Area: Standard3B1.raw (F1),42974.7940884206,19,15.36,PEp,18:0_18:1,36_1,36,1,B1,3,0.1,1.2287043686823633,14.216302787827248,0.9780766262662444,0.05571306501034882
PC(18:1_18:1),C44 H84 N O8 P,785.58981000000006,11.277,998620005.120719,Area: Standard3B1.raw (F1),154136.350233092,20,11.462,PC,18:1_18:1,36_2,36,2,B1,3,0.1,1.1729558087543293,15.591708402124302,0.9675836020141986,0.04466857760144472
TG(18:1_18:1_18:1) +NH4,C57 H107 N O6,901.80726,21.343,310832446.923526,Area: Standard3B1.raw (F1),646716.942985249,24,21.312,TG,18:1_18:1_18:1,54_3,54,3,B1,3,0.1,0.9577345015024867,15.62072641316727,0.9720883936928404,0.09633128996654612
LPC(18:1),C26 H52 N O7 P,521.3465,3.238,414092750.584583,Area: Standard3B2.raw (F2),184905.291287304,32,3.061,LPC,18:01,18_1,18,1,B2,3,0.1,1.1925999734337,14.589882377109294,0.9399089080489595,0.12686461992786294
DG(18:1_18:1) +NH4,C39 H75 N O5,637.56369,15.35,365217.029557479,Area: Standard3B2.raw (F2),24658.9665669722,12,15.418,DG,18:1_18:1,36_2,36,2,B2,3,0.1,1.3519306673506046,12.729235584841016,0.9412900185659857,0.14438646996153431
PE(16:0_18:1),C39 H76 N O8 P,717.52932,11.847,170714421.761119,Area: Standard3B2.raw (F2),102973.979670218,32,11.847,PE,16:0_18:1,34_1,34,1,B2,3,0.1,1.18643288820946,13.74803121913858,0.975124873120859,0.15579937417171782
PE(18:0_18:1),C41 H80 N O7 P,729.56465,15.276,249056022.187329,Area: Standard3B2.raw (F2),139562.892819652,19,15.36,PEp,18:0_18:1,36_1,36,1,B2,3,0.1,1.2287043686823633,14.216302787827248,0.9780766262662444,0.14530980513221162
PC(18:1_18:1),C44 H84 N O8 P,785.58981000000006,11.277,998620005.120719,Area: Standard3B2.raw (F2),651504.688646147,20,11.462,PC,18:1_18:1,36_2,36,2,B2,3,0.1,1.1729558087543293,15.591708402124302,0.9675836020141986,0.15265365383092605
PI(34:2),C43 H79 O13 P,834.52455,8.354,88157750.9432684,Area: Standard3B2.raw (F2),36174.8827743416,29,8.31,PI,16:0_18:2,34_2,34,2,B2,3,0.1,1.2157441180432402,13.118700574207326,0.9833773231149067,0.11565066685872014
TG(18:1_18:1_18:1) +NH4,C57 H107 N O6,901.80726,21.343,310832446.923526,Area: Standard3B2.raw (F2),747364.784251285,24,21.312,TG,18:1_18:1_18:1,54_3,54,3,B2,3,0.1,0.9577345015024867,15.62072641316727,0.9720883936928404,0.11203610114023184
LPC(18:1),C26 H52 N O7 P,521.3465,3.238,414092750.584583,Area: Standard3B3.raw (F3),252612.561499771,32,3.061,LPC,18:01,18_1,18,1,B3,3,0.1,1.1925999734337,14.589882377109294,0.9399089080489595,0.16480201995044888
DG(18:1_18:1) +NH4,C39 H75 N O5,637.56369,15.35,365217.029557479,Area: Standard3B3.raw (F3),24878.1373509768,12,15.418,DG,18:1_18:1,36_2,36,2,B3,3,0.1,1.3519306673506046,12.729235584841016,0.9412900185659857,0.14533462428277275
PE(16:0_18:1),C39 H76 N O8 P,717.52932,11.847,170714421.761119,Area: Standard3B3.raw (F3),96548.0974398007,32,11.847,PE,16:0_18:1,34_1,34,1,B3,3,0.1,1.18643288820946,13.74803121913858,0.975124873120859,0.14756359508029615
PE(18:0_18:1),C41 H80 N O7 P,729.56465,15.276,249056022.187329,Area: Standard3B3.raw (F3),140457.3919334,19,15.36,PEp,18:0_18:1,36_1,36,1,B3,3,0.1,1.2287043686823633,14.216302787827248,0.9780766262662444,0.14606733365970342
PS(34:0_17:0),C40 H78 N O10 P,763.53502,12.132,95165866.063891,Area: Standard3B3.raw (F3),30689.2378824267,26,12.03,PS,17:0_17:0,34_0,34,0,B3,3,0.1,1.2107601666199124,13.214162133719759,0.9631241376520957,0.0924829052182608
PC(18:1_18:1),C44 H84 N O8 P,785.58981000000006,11.277,998620005.120719,Area: Standard3B3.raw (F3),539350.432359607,20,11.462,PC,18:1_18:1,36_2,36,2,B3,3,0.1,1.1729558087543293,15.591708402124302,0.9675836020141986,0.12994473598060818
PI(34:2),C43 H79 O13 P,834.52455,8.354,88157750.9432684,Area: Standard3B3.raw (F3),34065.758753041,29,8.31,PI,16:0_18:2,34_2,34,2,B3,3,0.1,1.2157441180432402,13.118700574207326,0.9833773231149067,0.11007502725869012
TG(18:1_18:1_18:1) +NH4,C57 H107 N O6,901.80726,21.343,310832446.923526,Area: Standard3B3.raw (F3),898205.999825342,24,21.312,TG,18:1_18:1_18:1,54_3,54,3,B3,3,0.1,0.9577345015024867,15.62072641316727,0.9720883936928404,0.13574531531467363
LPC(18:1),C26 H52 N O7 P,521.3465,3.238,414092750.584583,Area: Standard3B4.raw (F4),93314.564974919,32,3.061,LPC,18:01,18_1,18,1,B4,3,0.1,1.1925999734337,14.589882377109294,0.9399089080489595,0.07149980837334685
DG(18:1_18:1) +NH4,C39 H75 N O5,637.56369,15.35,365217.029557479,Area: Standard3B4.raw (F4),13027.5327021162,12,15.418,DG,18:1_18:1,36_2,36,2,B4,3,0.1,1.3519306673506046,12.729235584841016,0.9412900185659857,0.0900639463429476
PE(16:0_18:1),C39 H76 N O8 P,717.52932,11.847,170714421.761119,Area: Standard3B4.raw (F4),45668.288866987,32,11.847,PE,16:0_18:1,34_1,34,1,B4,3,0.1,1.18643288820946,13.74803121913858,0.975124873120859,0.07851274189406257
PE(18:0_18:1),C41 H80 N O7 P,729.56465,15.276,249056022.187329,Area: Standard3B4.raw (F4),68218.3205310328,19,15.36,PEp,18:0_18:1,36_1,36,1,B4,3,0.1,1.2287043686823633,14.216302787827248,0.9780766262662444,0.08115017105498674
PC(18:1_18:1),C44 H84 N O8 P,785.58981000000006,11.277,998620005.120719,Area: Standard3B4.raw (F4),230945.72391113,20,11.462,PC,18:1_18:1,36_2,36,2,B4,3,0.1,1.1729558087543293,15.591708402124302,0.9675836020141986,0.06305412764243498
PI(34:2),C43 H79 O13 P,834.52455,8.354,88157750.9432684,Area: Standard3B4.raw (F4),18513.3667187167,29,8.31,PI,16:0_18:2,34_2,34,2,B4,3,0.1,1.2157441180432402,13.118700574207326,0.9833773231149067,0.06665810207322635
TG(18:1_18:1_18:1) +NH4,C57 H107 N O6,901.80726,21.343,310832446.923526,Area: Standard3B4.raw (F4),449082.201190188,24,21.312,TG,18:1_18:1_18:1,54_3,54,3,B4,3,0.1,0.9577345015024867,15.62072641316727,0.9720883936928404,0.0658247454207932
LPC(18:1),C26 H52 N O7 P,521.3465,3.238,414092750.584583,Area: Standard4B1.raw (F5),2355162.61266814,32,3.061,LPC,18:01,18_1,18,1,B1,4,1,1.1925999734337,14.589882377109294,0.9399089080489595,1.071389994227264
Cer(d18:1_17:0),C35 H69 N O3,551.52663,12.306,38110154.6493222,Area: Standard4B1.raw (F5),92230.4710970194,24,12.21,Cer,18:1_17:0,35_1,35,1,B1,4,1,1.4899067331041478,11.111911564326087,0.9445085017026763,1.2396990779051777
DG(18:1_18:1) +NH4,C39 H75 N O5,637.56369,15.35,365217.029557479,Area: Standard4B1.raw (F5),331586.396729073,12,15.418,DG,18:1_18:1,36_2,36,2,B1,4,1,1.3519306673506046,12.729235584841016,0.9412900185659857,0.9870718631594081
